Title,Release_Year,Locations,Production_Company,Distributor,Director,Writer,Actor1,Actor2,Actor3,Coordinates
Blue Jasmine,2013,"Grant & Washington St., San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7951563 -122.4064963
Blue Jasmine,2013,"2934 24th St., San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7529598 -122.4107118
Blue Jasmine,2013,"1138 Alabama St, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.75367 -122.4112992
Blue Jasmine,2013,"South Park, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7816579 -122.3938961
Blue Jasmine,2013,"2915 16th St., San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7650165 -122.4179625
Blue Jasmine,2013,"Trolley Car from Market and 11th, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7748643 -122.4195886
Blue Jasmine,2013,"Real Guitars, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7734127 -122.4174864
Blue Jasmine,2013,"Aub Zam Zam Bar, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.769619 -122.449291
Blue Jasmine,2013,"790 Ulloa , San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7408365 -122.4647031
Blue Jasmine,2013,"SFO International Airport Terminal 3, San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.6213129 -122.3789554
Blue Jasmine,2013,"2178 Palou Ave., San Francisco",Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7406288 -122.4015231
"Budding Prospects, Pilot",2017,"3050 24th Street, San Francisco",Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,37.7527686 -122.4132118
"Budding Prospects, Pilot",2017,"3033 24th Street, San Francisco",Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,37.75241219999999 -122.4126145
"Budding Prospects, Pilot",2017,"2937 24th Street, San Francisco",Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,37.7525985 -122.4108534
"Budding Prospects, Pilot",2017,"1167 Alabama Street, San Francisco",Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,37.7532795 -122.4108224
