Title,Release Year,Locations,Coordinates
By Hook or By Crook,2001,"Department of Public Health (101 Grove Street at Polk, Civic Center), San Francisco",37.7781114 -122.4186929
Can't Stop the Music,1980,"101 Henry Adams Place, San Francisco",37.7681477 -122.4034548
Cardinal X,2015,"3639 Taraval St, San Francisco",37.7415919 -122.5053714
Cardinal X,2015,"1458 33rd Ave., San Francisco",37.7599582 -122.491644
Cardinal X,2015,"Lyon at Chestnut St., San Francisco",37.7993888 -122.4475098
Cardinal X,2015,"1559 Underwood Avenue between Lane and Keith, San Francisco",37.729144 -122.391257
Cardinal X,2015,"1465 Revere Avenue between Keith and Jennings, San Francisco",37.73010379999999 -122.3878108
Cardinal X,2015,"1601 Lane St., San Francisco",37.7317337 -122.3897863
Cardinal X,2015,"420 Mason St., San Francisco",37.7875878 -122.4096056
Cardinal X,2015,"119 Utah, San Francisco",37.7674263 -122.4062869
Cardinal X,2015,"100 Alemany Blvd., San Francisco",37.7357632 -122.4098934
Cardinal X,2015,"812 22nd St. and Tennessee, San Francisco",37.7578889 -122.3892762
Casualties of War,1989,"Mission Dolores Park (Mission District) via J-Church MUNI Train, San Francisco",37.7596168 -122.4269038
Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown), San Francisco",37.7954841 -122.4063742
Chan is Missing,1982,"Golden Dragon Restaurant (816 Washington Street at Grant), San Francisco",37.7951833 -122.4068959
Chance - Season 1 ep105,2016,"Maiden Lane between Kearny and Grant, San Francisco",37.78840539999999 -122.4059771
Chance - Season 1 ep105,2016,"The Drew School, 2901 California, San Francisco",37.787638 -122.442352
Chance - Season 1 ep105,2016,"State Garage, 818 Leavenworth, San Francisco",37.788783 -122.4151264
Chance - Season 1 ep105,2016,"60 Leavenworth St., San Francisco",37.7811707 -122.4135524
Chance - Season 1 Pilot,2016,"Harvey Milk Rec Center, 50 Scott St., San Francisco",37.7696048 -122.4346886
Chance - Season 1 Pilot,2016,"66 Potomac, San Francisco",37.7703055 -122.4324576
Chance - Season 1 Pilot,2016,"Mario's Caf�, 566 Columbus, San Francisco",37.8002499 -122.4097803
Chance - Season 1 Pilot,2016,"Washington Square Park, San Francisco",37.8008473 -122.4099791
Chance - Season 1 Pilot,2016,"William Stout Architectural Books, 804 Montgomery St., San Francisco",37.7966361 -122.4033161
Chance - Season 1 Pilot,2016,"1055 Montgomery St., San Francisco",37.7988921 -122.4042503
Chance - Season 1 Pilot,2016,"60 Leavenworth St., San Francisco",37.7811707 -122.4135524
Chance - Season 1 Pilot,2016,"Jefferson Square Park, San Francisco",37.7817433 -122.4256958
Chance - Season 1 Pilot,2016,"UN Plaza/ Civic Center Bart steps, San Francisco",37.779756 -122.41415
Chance - Season 1 Pilot,2016,"940 Powell St., San Francisco",37.7934919 -122.4092654
Chance - Season 1 Pilot,2016,"Ellis and Jones St., San Francisco",37.784875 -122.4128063
Chance - Season 1 Pilot,2016,"Ellis Food Center, 398 Ellis, San Francisco",37.7849979 -122.4126834
Chance - Season 1 Pilot,2016,"Jonell's Bar, 401 Ellis, San Francisco",37.7847671 -122.4128835
Chance - Season 1 Pilot,2016,"State Garage, 818 Leavenworth, San Francisco",37.788783 -122.4151264
Chance - Season 1 Pilot,2016,"Antonio Alley, San Francisco",29.4687385 -98.51823759999999
Chance - Season 1 Pilot,2016,"253 4th Ave., San Francisco",37.783857 -122.462669
Chance - Season 1 Pilot,2016,"Warren's Antiques, 375 9th St., San Francisco",37.7729581 -122.4103937
Chance - Season 1ep105,2016,"Private alley along 20th St. between Tennessee and Minnesota, San Francisco",37.7543039 -122.3897082
Chance- Season 1 ep102,2016,"Mason and Pacific, San Francisco",37.796296 -122.4117426
Chance- Season 1 ep102,2016,"John St. between Powell and Mason, San Francisco",37.7845286 -122.407737
Chance- Season 1 ep102,2016,"Westin St. Francis, San Francisco",37.7877881 -122.4088321
Chance- Season 1 ep102,2016,"Betelnut restaurant, 2030 Union St., San Francisco",37.7976263 -122.4327432
Chance- Season 1 ep102,2016,"Sutter Stockton Garage, 444 Stockton, San Francisco",37.7900691 -122.4064769
Chance- Season 1 ep102,2016,"YWCA, 940 Powell, San Francisco",37.7934919 -122.4092654
Chance- Season 1 ep102,2016,"Warren's Antiques, 375 9th St., San Francisco",37.7729581 -122.4103937
Chance- Season 1 ep102,2016,"Heron and Berwick Alleys, San Francisco",37.7745963 -122.408323
Chance- Season 1 ep102,2016,"Duboce St., Duboce Caf�, San Francisco",37.7692134 -122.4315563
Chance- Season 1 ep102,2016,"Potomac and Waller, San Francisco",37.7708691 -122.4327506
Chance- Season 1 ep102,2016,"State Garage, 818 Leavenworth, San Francisco",37.788783 -122.4151264
Chance- Season 1 ep103,2016,"60 Leavenworth St., San Francisco",37.7811707 -122.4135524
Chance- Season 1 ep103,2016,"Blue Danube Caf�, 306 Clement, San Francisco",37.7831653 -122.4625598
Chance- Season 1 ep103,2016,"San Francisco Art Institute, 800 Chestnut, San Francisco",37.803376 -122.417167
Chance- Season 1 ep103,2016,"Laguna Honda Hospital, San Francisco",37.747287 -122.4592344
Chance- Season 1 ep103,2016,"350 Santa Ana Ave., San Francisco",37.73061149999999 -122.4682853
Chance- Season 1 ep103,2016,"878-898 Chestnut St., San Francisco",37.8033262 -122.4181013
Chance- Season 1 ep103,2016,"Forrest Hill Muni Station, San Francisco",37.7479845 -122.4590076
Chance- Season 1 ep103,2016,"60 Potomac, San Francisco",37.7701818 -122.4324681
Chance- Season 1 ep103,2016,"The Drew School, 2901 California, San Francisco",37.787638 -122.442352
Chance- Season 1 ep103,2016,"San Bruno and Alameda, San Francisco",37.6304904 -122.4110835
Chance- Season 1 ep103,2016,"17th and Arkansas, San Francisco",37.7650337 -122.3987168
Chance- Season 1 ep104,2016,"Bush and Sansome St., San Francisco",37.7911874 -122.4007825
Chance- Season 1 ep104,2016,"Bayview Police Station, 201 Williams Ave., San Francisco",37.7298279 -122.3977161
Chance- Season 1 ep104,2016,"Miraloma Mall at Portola Frontage Road, San Francisco",37.7417823 -122.4564802
Chance- Season 1 ep104,2016,"1018 Tennessee St., San Francisco",37.758936 -122.389657
Chance- Season 1 ep104,2016,"901/909Tennessee St., San Francisco",37.760022 -122.389134
Chance- Season 1 ep104,2016,"11 San Jacinto Ave., San Francisco",37.73527989999999 -122.4632215
Chance- Season 1 ep104,2016,"Palace of Fine Arts, San Francisco",37.8029577 -122.4491929
Chance- Season 1 ep104,2016,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd., San Francisco",37.76615090000001 -122.3861248
Chance- Season 1 ep104,2016,"200 Kansas St., San Francisco",37.7668332 -122.4043399
Chance- Season 1 ep104,2016,"15th St. between Vermont and Kansas, San Francisco",37.766648 -122.4202501
Chance- Season 1 ep106,2016,"Washington Square Park, San Francisco",37.8008473 -122.4099791
Chance- Season 1 ep106,2016,"Grant between Union and Green, San Francisco",37.799859 -122.407553
Chance- Season 1 ep106,2016,"60 Leavenworth St., San Francisco",37.7811707 -122.4135524
Chance- Season 1 ep106,2016,"Montgomery between Pacific and Broadway, San Francisco",37.7944107 -122.4034351
Chance- Season 1 ep106,2016,"Treasure Island, San Francisco",37.8235515 -122.370648
